;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(averageRisk);();false;0.0;9;0;1.0035861029E9;9.89325304E8;1.017899451E9;7066591.207910524;1.11887145964E10;1.0102598256E10;1.3642998695E10;1.0488840984429138E9;30162;4.8362877545E9;4.40199986E9;7.432556883E9;9.510573510885664E8;2.317665826E8;1.8345442E8;4.21028963E8;8.700427759467341E7;9.64608045E7;7.4806656E7;1.84572673E8;3.2579419322530698E7;3098961.9;66115.0;3.0014996E7;9457440.755587216;1.462899033E8;1.26318093E8;2.67138704E8;4.2674856806595296E7;473404.9;67255.0;1908211.0;706571.9928409356;1.449849331E8;4.7277807E7;5.16527284E8;1.667453470081402E8;4.1666965324E9;3.66483996E9;5.887186432E9;6.274427057908801E8;316005.7712886067;4.9675011386E9;3.952652089E9;7.157586421E9;1.2222489762019582E9;30162;1.378758785E8;1.05978092E8;3.50400081E8;7.488028114772904E7;75746.9;56995.0;114561.0;16465.26177846357;4.8253073343E9;3.835390588E9;7.048408029E9;1.2334384971434417E9;316005.7712886067
adult;(basicBLikeness);();false;0.0;9;0;1.000743678E9;9.86248684E8;1.00345849E9;5127636.896861209;1.04508473814E10;1.018716141E10;1.1722024163E10;4.5830709072850764E8;30162;1.1045577801E10;1.0148722473E10;1.2737581097E10;9.393577811961325E8;2.264600691E8;1.86157719E8;4.87938317E8;9.213278003101084E7;7.55219509E7;6.9661099E7;7.9451794E7;2459734.1249866127;70845.3;63265.0;90053.0;7731.5170862875;1.626133714E8;1.10952664E8;4.39850034E8;9.78647212956901E7;111597.1;55855.0;409228.0;112097.68065243616;8.16146611E7;4.9985666E7;3.41347478E8;9.133285558558622E7;1.04942971397E10;9.423907239E9;1.1965773033E10;9.322185882917625E8;347909.6108937504;8.6901969366E9;8.545858903E9;9.163384008E9;2.0655704732334098E8;30162;1.288351308E8;1.08046461E8;1.95949555E8;3.029074496537225E7;61441.1;53006.0;83784.0;9217.013211688723;8.561090963E9;8.370938426E9;9.048397769E9;2.1741227578535336E8;347909.6108937504
adult;(dDisclosurePrivacy);();false;0.0;9;0;1.0011603153E9;9.86033811E8;1.013152863E9;8731054.145835033;1.02471028878E10;1.0098431881E10;1.0435263031E10;1.0040719688992397E8;30162;1.05968748203E10;9.490115547E9;1.2536349196E10;1.20338384620943E9;2.248773599E8;1.88281374E8;4.8240576E8;9.05777244354275E7;7.52012371E7;7.2808393E7;7.8250898E7;1481220.8035738217;72498.4;63265.0;114561.0;15074.343996782523;1.960359598E8;1.17056317E8;4.86934056E8;1.3777944134813786E8;193158.2;56996.0;932448.0;278370.13155661017;5.26406892E7;5.0494636E7;5.5240085E7;1470665.9422368116;1.0043913873E10;8.96350347E9;1.2057282235E10;1.1844514901409478E9;455884.9365769584;8.4930255117E9;8.433389588E9;8.554002427E9;3.943629007160325E7;30162;1.230663265E8;1.0921202E8;1.82598347E8;2.122762182258494E7;81503.9;52436.0;151608.0;34462.19321533542;8.3696462801E9;8.27346692E9;8.437523475E9;5.016902762972404E7;455884.9365769584
adult;(distinctLDiversity);();false;0.0;9;0;1.0013988415E9;9.86094796E8;1.009078251E9;5808771.50271712;1.07858554147E10;1.0036969023E10;1.3000964364E10;1.0359873795179956E9;30162;3.1931037668E9;2.879200216E9;3.981801322E9;3.0619336901248676E8;2.247919804E8;1.86875293E8;4.94006063E8;9.475923775401552E7;7.97114088E7;7.3015857E7;8.3015726E7;3128267.0013330174;57964.4;47877.0;79223.0;10430.027646708859;1.30021892E8;1.19261474E8;1.40135524E8;7179440.125729196;81788.6;63265.0;211453.0;45858.5373808532;9.7783956E7;5.3405968E7;3.80407096E8;1.0474897800976118E8;2.6553107025E9;2.416826682E9;3.131499558E9;2.118549593205744E8;170763.7641568316;3.0509448438E9;2.557786931E9;5.523335402E9;8.775984807898004E8;30162;1.168256559E8;1.09900526E8;1.27303546E8;5942190.548943498;74150.9;60415.0;132229.0;23535.739203980353;2.9338507388E9;2.443441892E9;5.413137359E9;8.796740764642481E8;170763.7641568316
adult;(dPresence);();false;0.0;9;0;1.0058957333E9;1.001665979E9;1.033771572E9;9820871.680183792;1.13902465797E10;1.1183135815E10;1.154910594E10;1.283350384700212E8;30162;2.27349448255E10;2.1981361316E10;2.5228369762E10;1.0771112013367674E9;2.310858278E8;1.90573734E8;5.3233158E8;1.0598825204304764E8;7.6160472E7;7.4233281E7;7.9711124E7;1686382.8300701936;63151.1;46737.0;177256.0;40350.916006262414;1.890540049E8;1.14398614E8;4.4475678E8;1.2590765241417807E8;77228.9;61555.0;193785.0;41037.07717946459;7.27657032E7;7.0968006E7;7.9389669E7;2470033.2461644136;2.21621362614E10;2.1494853587E10;2.4429916849E10;1.0306610301369479E9;42668.3860074087;2.08116403146E10;2.0285243909E10;2.1460912168E10;3.364680412137987E8;30162;1.377361825E8;1.1048473E8;1.98423161E8;3.572925072328749E7;1.169834766E8;1.0792791E8;1.76262722E8;2.091095617581006E7;2.05567137053E10;2.0058038567E10;2.1165581187E10;3.2339896467902434E8;42668.3860074087
adult;(edDifferentialPrivacy);();false;0.0;9;0;9.979313467E8;9.8924722E8;1.015008638E9;7310917.0015354585;1.16585807654E10;1.1235686851E10;1.3064183827E10;5.2204884181828934E8;30162;1.0477084654E9;9.39148704E8;1.655379268E9;2.236599345696707E8;1.970006665E8;1.86399951E8;2.19628355E8;9333091.676748497;9.96740994E7;7.6442999E7;2.77575158E8;6.254232090067117E7;57850.4;46167.0;134509.0;26988.779183620405;1.34579313E8;1.25913425E8;1.52685944E8;7171500.427563011;80306.8;61555.0;216583.0;47959.414846305226;5.289828633E8;5.08226453E8;6.68959028E8;4.950818659309826E7;8.34307673E7;2.8077147E7;5.6395328E8;1.6885408795892173E8;32439.9492340837;1.0406222659E9;5.73827188E8;3.364740161E9;8.317206795375346E8;30162;4.864690858E8;1.14603798E8;2.906452067E9;8.590020954496399E8;5.183140943E8;4.26405923E8;7.76404185E8;1.3954684519078484E8;3.56518553E7;2.6937806E7;6.4542898E7;1.1591146863811094E7;32549.664480291005
adult;(enhancedBLikeness);();false;0.0;9;0;1.001175932E9;9.90171688E8;1.004170934E9;3969956.2838400234;1.13619054863E10;1.0943749953E10;1.3601378266E10;7.934939724262105E8;30162;9.1231770116E9;8.718159865E9;1.0930319523E10;6.442197412360153E8;1.976474521E8;1.89262837E8;2.08640754E8;7781115.820361448;1.069312287E8;6.451554E7;3.67620146E8;9.17745513863061E7;48446.1;44456.0;63265.0;5603.810637017953;1.603891199E8;1.07770602E8;4.10295562E8;8.880401360972284E7;110685.2;58705.0;304356.0;87030.5328169373;5.73059459E7;5.2760209E7;6.4309217E7;2933955.5854015565;8.5899662757E9;8.209554962E9;1.0448108118E10;6.63927372522539E8;354687.7493117178;8.3104649522E9;8.229944549E9;8.513315585E9;9.005178973030849E7;30162;1.329929559E8;1.17119582E8;1.92025981E8;2.6483315830514066E7;68223.7;53006.0;107722.0;20010.921645996776;8.1772172837E9;8.050621736E9;8.390915935E9;9.468980369708122E7;354687.7493117178
adult;(entropyLDiversity);();false;0.0;9;0;1.0013730799E9;9.88620269E8;1.004173214E9;4553290.2804924715;1.15303248232E10;1.109063603E10;1.3190929957E10;7.889955452922627E8;30162;4.4773896378E9;4.257145104E9;4.663279421E9;1.3495115785482717E8;1.9553058E8;1.88411893E8;2.02651091E8;4613248.4276107075;7.99008047E7;7.7220988E7;8.4322063E7;2127118.9699247116;48446.0;43886.0;61555.0;5781.418530276304;1.345890591E8;1.25786895E8;1.52746359E8;7740519.407083674;73866.1;58135.0;188086.0;40318.5043440905;5.57346926E7;5.4691788E7;6.0162221E7;1626597.4678569715;4.0083720189E9;3.803332302E9;4.186957367E9;1.2606559703337763E8;195181.88881061377;3.9696964362E9;3.853793881E9;4.160374644E9;1.0979414130948234E8;30162;1.169449473E8;1.13504924E8;1.19618836E8;1995999.5927957194;59845.4;51296.0;99742.0;14161.140782672373;3.8525586726E9;3.739380447E9;4.041544055E9;1.0979382604031846E8;195181.88881061377
adult;(equalDistanceTCloseness);();false;0.0;9;0;1.0016674046E9;9.90636202E8;1.003819272E9;3936128.8358199582;1.15131952673E10;1.0938209986E10;1.3356355545E10;9.46283441096902E8;30162;9.0558277664E9;8.638408274E9;1.1013705719E10;6.985971073001205E8;1.972090419E8;1.88288212E8;2.09756156E8;7820174.50255762;1.078837381E8;7.4209343E7;3.73357317E8;9.332007583979604E7;45596.5;43886.0;47876.0;1316.3587192622601;1.601364015E8;1.081747E8;4.21497467E8;9.241277982757531E7;101395.0;56995.0;193215.0;60913.454237229984;3.17372699E8;5.6463779E7;2.647891193E9;8.188632730006711E8;8.2699797039E9;7.93689681E9;8.56305104E9;1.790985527889455E8;415585.50765749405;8.2477466526E9;8.127783449E9;8.444845123E9;8.986442208961438E7;30162;1.332512027E8;1.14464159E8;2.06951975E8;3.1300060391760387E7;61840.3;51297.0;97462.0;15020.064203517166;8.1142425032E9;8.013022912E9;8.237702782E9;6.920306417997365E7;415585.50765749405
adult;(hierarchicalDistanceTCloseness);();false;0.0;9;0;1.0022362203E9;1.000728973E9;1.004436533E9;981585.7704866085;1.15567273841E10;1.1026444794E10;1.3430761524E10;8.581491724501902E8;30162;8.8796923725E9;8.63115673E9;8.982941233E9;1.0152495983321922E8;1.959500103E8;1.8806479E8;2.04131266E8;5335374.849788033;7.81855242E7;6.6312611E7;8.1291611E7;4384077.553922092;46622.6;43887.0;53005.0;2903.415084956947;1.332861408E8;1.2482823E8;1.4082004E8;4697656.296878401;61669.2;56995.0;69535.0;4203.925488291998;5.87510679E7;5.7423015E7;5.9812838E7;664387.1217650227;8.4107737544E9;8.176976307E9;8.517074441E9;9.704297348591845E7;390765.61326019815;8.5063167595E9;8.130656025E9;1.0692666326E10;7.763275789514916E8;30162;1.24938516E8;1.14521154E8;1.74188655E8;1.748176589698965E7;679785.8;658299.0;750631.0;28244.467658089943;8.3805724973E9;7.955643784E9;1.0575410524E10;7.805251942356334E8;390765.61326019815
adult;(inclusion);();false;0.0;9;0;9.989567535E8;9.87050611E8;1.003193461E9;4654829.574502981;1.13834710632E10;1.1095062875E10;1.2033159439E10;2.494121994406959E8;30162;5.624264831E8;5.23082342E8;8.07545413E8;8.669925116214986E7;2.243071765E8;1.90285907E8;4.71581735E8;8.694086465674108E7;7.93298803E7;7.4982773E7;8.2801992E7;2548636.277335873;58705.6;44457.0;173836.0;40471.53376057464;1.332313684E8;1.27860393E8;1.40144643E8;3288649.8891588794;169447.7;55855.0;1145040.0;342825.09510019183;3.34421378E7;3.264705E7;3.4286812E7;534357.5316938609;8.91125964E7;8.2134574E7;1.10963493E8;9558045.282479586;0.0;4.249095055E8;3.21691993E8;6.65077631E8;1.485829055008439E8;30162;1.792056304E8;1.12425428E8;4.11898847E8;1.2251288084900476E8;1.08656712E8;1.06685977E8;1.10384988E8;1266079.0773398706;1.368985759E8;9.9022356E7;4.16996529E8;9.871366991154198E7;0.0
adult;(kAnonymity);();false;0.0;9;0;1.0004338502E9;9.87916374E8;1.00538494E9;5387504.220181792;1.14141510826E10;1.1041643797E10;1.2335730566E10;4.01453295339082E8;30162;3.7405469178E9;3.581912576E9;4.028072587E9;1.7697052270659426E8;2.238694505E8;1.88106397E8;4.91545566E8;9.41898398971446E7;7.70647635E7;6.5795661E7;8.1657522E7;5547483.326760628;52094.2;45027.0;91193.0;14108.049481688735;1.283937568E8;1.10105139E8;1.41401965E8;8366148.490673972;75120.3;56425.0;185806.0;39422.6777151595;8.38792083E7;4.6764278E7;3.52613788E8;9.491177935326296E7;3.2239390992E9;3.124515325E9;3.560274786E9;1.6538401852791467E8;282939.0335460752;3.4746614893E9;3.254543258E9;3.711415582E9;1.9579872616496727E8;30162;2.062747537E8;1.09576791E8;4.14061258E8;1.4039537799547055E8;62638.5;54716.0;100312.0;13624.400963385917;3.2681270637E9;3.135736038E9;3.57842559E9;2.018289149248637E8;282939.0335460752
adult;(kMap);();false;0.0;9;0;1.0018864955E9;9.8846809E8;1.010229561E9;5465718.946356081;1.13831121049E10;1.1143588884E10;1.2284672814E10;3.274145090001837E8;30162;3.8069950068E9;3.667510201E9;4.113835499E9;1.792089028775186E8;1.949586299E8;1.89223509E8;2.00849462E8;3174927.1620993293;7.83310335E7;7.4854533E7;8.1598247E7;2373851.397113384;51067.9;47306.0;63835.0;6488.511615839868;1.340804879E8;1.21667257E8;1.38810947E8;4815851.955017592;61669.1;55285.0;68395.0;4636.849659700718;4.98887164E7;4.9019591E7;5.1692682E7;843166.1579859044;3.347177324E9;3.223428248E9;3.648561461E9;1.770241840901627E8;28227.881499539297;3.8927195598E9;3.470387108E9;6.19254293E9;8.25881912292833E8;30162;4.267240155E8;1.10768568E8;2.809873111E9;8.464265063942864E8;1.378070278E8;1.07115723E8;3.97853433E8;9.137689601238407E7;3.3279996329E9;3.249155468E9;3.619572956E9;1.3800915036804014E8;28227.881499539297
adult;(orderedDistanceTCloseness);();false;0.0;9;0;9.964836026E8;9.87035792E8;1.003672223E9;7875167.548484881;1.15225990196E10;1.0962023296E10;1.3437729229E10;8.42415340417002E8;30162;1.01482438246E10;9.719591592E9;1.1965022402E10;6.474003071451701E8;2.284565663E8;1.8844666E8;5.23466492E8;1.0376761590759237E8;7.72213301E7;7.1133864E7;8.167576E7;3066682.845312557;47477.3;46166.0;49587.0;1172.8922513740695;1.312568146E8;1.15454741E8;1.40002724E8;7552888.1724268785;98545.5;56426.0;200054.0;63302.42233780105;5.94772482E7;5.8546967E7;6.1218919E7;830740.2915366511;9.6489016103E9;9.264463902E9;1.1504190597E10;6.613107434645061E8;185757.34502842638;9.3312149799E9;9.272462658E9;9.41570444E9;5.023375318698843E7;30162;1.181294861E8;1.13444509E8;1.22810588E8;2929307.348608255;49643.1;43316.0;76944.0;9877.252220801762;9.2129040773E9;9.154062386E9;9.29945119E9;5.107176150720507E7;185757.34502842638
adult;(populationUniqueness);();false;0.0;9;0;9.995303568E8;9.86212207E8;1.00448042E9;7077235.068191435;1.15941853712E10;1.108014543E10;1.3143890961E10;6.163471830897325E8;30162;2.0871600431E9;1.846314355E9;2.687984712E9;2.6116368086083436E8;2.241319721E8;1.91517581E8;4.48839371E8;7.953915922162722E7;7.92360659E7;7.4552457E7;8.3460861E7;2835342.47602423;47990.2;45597.0;51866.0;1798.40378607747;1.565012827E8;1.14527424E8;3.94973449E8;8.400951435171668E7;72840.2;54146.0;184665.0;39922.751429896874;6.1373832E7;5.7400786E7;8.807579E7;9410609.772781925;1.5633307172E9;1.381403949E9;2.186122382E9;2.6721912723916602E8;42571.8694091557;1.9100328695E9;1.51069949E9;4.37152662E9;8.765980303339263E8;30162;3.955358239E8;1.10877429E8;2.922618854E9;8.879369494449862E8;98602.2;84923.0;154458.0;20500.886218242696;1.5142677524E9;1.396931815E9;1.743644854E9;1.4226289842587513E8;42571.8694091557
adult;(profitabilityJournalist);();false;0.0;9;0;9.965636244E8;9.85058617E8;1.006121322E9;6087164.630913024;1.14513334964E10;1.099090864E10;1.2472916001E10;4.0561022768609864E8;30162;6.54451723E8;4.99495305E8;9.13570241E8;1.694619247209484E8;2.003475587E8;1.88918583E8;2.34007192E8;1.2858440740436075E7;7.48712331E7;6.5115134E7;8.0897201E7;5289968.874392771;47933.2;46166.0;50726.0;1507.0406468012436;1.356254663E8;1.23130902E8;1.55776243E8;8135271.00888229;77855.8;50726.0;196634.0;47694.24990219821;1.315511392E8;3.5398225E7;3.69170994E8;1.5108924179640073E8;1.09280756E8;7.1783043E7;3.85826803E8;9.806193277163632E7;0.0;3.241221692E8;3.07509221E8;3.4617899E8;1.3704441873867862E7;30162;1.236240847E8;1.12763412E8;1.35792463E8;1.0137842972723778E7;1.089657987E8;1.06815356E8;1.12182628E8;1696183.145020742;9.13801645E7;8.7049871E7;1.03330649E8;5018334.101369082;0.0
adult;(profitabilityJournalistNoAttack);();false;0.0;9;0;9.95621602E8;9.87986479E8;1.005485252E9;5093894.243096948;1.15735149095E10;1.1056687772E10;1.2956123687E10;5.790570357688298E8;30162;1.1040682283E9;9.86747396E8;1.347369057E9;1.6281722752797115E8;1.948823698E8;1.89873259E8;2.0086884E8;3991654.0361358086;7.42817849E7;6.4798809E7;8.2140844E7;6125105.674121921;47591.4;45596.0;52436.0;2136.735110708235;1.337126387E8;1.24934812E8;1.43777539E8;6468782.99139305;94441.7;54145.0;187516.0;62034.762672141245;1.062358263E8;3.7932247E7;3.88041651E8;1.3879348136031958E8;5.921875632E8;5.52083957E8;9.12738106E8;1.1266114472458136E8;38119.0024832067;8.038407021E8;7.90054619E8;8.2922367E8;1.2453855894687776E7;30162;1.204289142E8;1.09579641E8;1.34764263E8;9024554.3020971;1.088644035E8;1.06912249E8;1.11579044E8;1583237.330072662;5.743404904E8;5.68595567E8;5.89657702E8;6166936.720765274;38119.0024832067
adult;(profitabilityProsecutor);();false;0.0;9;0;9.963455595E8;9.86669881E8;1.009869349E9;7754746.919817368;1.16874777362E10;1.1302938748E10;1.2739651746E10;5.441750382148618E8;30162;6.005716655E8;5.0647213E8;8.22776903E8;1.2558972321005867E8;1.962386924E8;1.87432139E8;2.00261268E8;4235583.194554498;7.65145283E7;7.2900725E7;8.0107243E7;2743740.1659766487;50897.0;45596.0;75235.0;9163.289632489465;1.786059803E8;1.26980381E8;3.85398767E8;1.0115744166704924E8;58078.4;53006.0;68394.0;4935.39405609004;3.78775314E7;3.6274816E7;3.8836767E7;779167.7742097226;1.087306922E8;7.3467262E7;3.7831365E8;9.51388061271232E7;0.0;2.128015989E8;2.00653397E8;2.21159255E8;7891575.108418886;30162;1.202196266E8;1.09615548E8;1.30175551E8;9611921.563204821;60700.1;41606.0;167567.0;40176.68207762641;9.23493167E7;8.7669982E7;1.04402735E8;5605832.2744798185;0.0
adult;(profitabilityProsecutorNoAttack);();false;0.0;9;0;9.960052391E8;9.87057451E8;1.011021229E9;7138059.199940048;1.14841697714E10;1.1049514313E10;1.2276462035E10;3.698429218538525E8;30162;1.0451930239E9;9.3368568E8;1.287496944E9;1.487489485728529E8;1.950494239E8;1.85775279E8;2.0342737E8;5345884.907053845;7.63122512E7;6.606696E7;8.1501354E7;4904866.830538664;47192.3;45596.0;52435.0;1988.7474589689753;1.633211989E8;1.22230372E8;4.25687779E8;9.243912376000047E7;67824.6;52436.0;161297.0;33265.230908228754;7.22169502E7;3.8258832E7;3.63807713E8;1.0245828019766629E8;5.357655612E8;5.01323721E8;7.95963347E8;9.154871640978587E7;379417.3460570988;6.430654373E8;6.32915043E8;6.56987113E8;8179569.277915013;30162;1.209564082E8;1.11296347E8;1.29921352E8;6931385.202038043;54487.7;42177.0;132800.0;27572.49158551569;5.219114824E8;5.17915696E8;5.26803581E8;2771127.977642606;379417.3460570988
